,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
1245,30.77,49.86,224.8,1.84,14.4,205.6,53.3,136.4,20.8,29.5
1246,28.78,46.82,213.4,1.74,13.6,193.6,49.8,129.0,19.5,28.2
1247,26.66,42.56,192.5,1.57,12.3,176.9,46.3,116.3,17.6,25.7
1248,24.32,39.63,178.3,1.46,11.3,162.9,42.9,107.5,16.1,23.5
1249,23.06,37.31,169.6,1.42,10.9,155.1,40.6,102.8,15.7,22.8
1250,22.59,36.03,165.5,1.36,10.7,150.8,39.2,98.1,15.2,22.0
1251,22.38,35.78,166.8,1.35,10.4,149.5,39.1,99.1,15.0,21.6
1252,23.07,37.14,168.8,1.38,10.7,154.1,40.4,102.1,15.2,22.4
1253,26.02,41.36,194.1,1.6,12.3,174.9,45.0,114.3,17.4,25.4
1254,29.74,46.48,213.6,1.74,13.9,196.2,50.7,128.2,19.8,28.1
1255,31.28,50.0,228.4,1.91,14.9,209.6,54.3,138.9,21.2,30.3
1256,32.31,51.44,240.0,1.95,14.8,215.1,56.6,140.3,21.7,31.2
1257,33.85,53.4,244.3,2.01,15.5,222.4,58.6,148.1,22.5,32.1
1258,33.85,55.3,248.5,2.05,16.0,227.6,59.1,150.7,22.4,33.2
1259,34.68,55.12,255.6,2.08,16.5,231.7,60.4,150.8,23.1,33.2
1260,35.29,56.69,258.8,2.09,16.6,234.2,61.0,154.2,23.3,34.3
1261,34.58,54.96,256.2,2.07,16.2,230.6,59.2,150.7,23.1,33.8
1262,33.62,54.15,244.0,2.0,15.6,225.0,58.9,148.4,22.8,33.0
1263,33.11,52.2,241.6,2.0,15.4,219.9,57.7,144.9,22.3,31.8
1264,32.26,51.24,234.3,1.92,15.1,213.1,55.3,138.8,21.3,30.6
1265,31.71,50.68,228.8,1.9,14.7,211.1,55.1,138.0,21.0,31.0
1266,35.56,56.74,260.3,2.11,16.3,235.3,62.0,155.4,23.7,34.5
1267,36.59,58.06,265.4,2.15,17.1,241.0,62.9,161.2,24.4,35.4
1268,34.1,53.64,246.8,2.06,15.8,225.6,58.4,148.2,22.4,32.9
1269,30.38,49.78,226.2,1.87,14.2,205.3,54.1,137.3,20.6,29.7
1270,28.61,46.67,211.9,1.72,13.4,191.9,50.3,125.5,19.1,27.7
1271,26.22,41.98,194.1,1.59,12.2,175.9,45.8,117.8,17.7,25.9
1272,23.64,37.98,174.1,1.43,11.2,157.4,41.3,102.5,15.9,22.5
1273,21.96,34.74,158.4,1.29,10.2,144.8,37.7,94.6,14.4,21.1
1274,21.1,34.22,155.0,1.28,9.8,142.3,37.2,93.9,14.3,20.6
1275,21.07,34.14,156.4,1.26,10.1,142.0,36.8,93.7,14.3,20.5
1276,21.63,34.71,160.5,1.3,10.3,145.7,37.4,97.1,14.7,21.4
1277,25.25,40.35,189.4,1.52,11.8,169.8,44.6,110.6,17.2,24.6
1278,29.27,46.89,216.9,1.73,13.7,194.7,50.1,128.2,19.7,27.8
1279,31.02,49.5,229.9,1.86,14.5,208.5,53.4,135.9,20.8,30.1
1280,29.54,47.82,218.8,1.79,13.9,197.8,51.9,131.7,19.9,29.1
1281,33.48,54.18,244.1,1.98,15.8,223.5,58.9,147.7,22.7,32.0
1282,33.47,54.79,246.4,2.04,15.9,226.2,59.6,148.7,22.6,32.8
1283,34.44,55.06,249.5,2.08,15.9,229.2,60.4,150.8,23.0,33.2
1284,34.62,55.52,251.3,2.11,16.0,230.9,60.5,151.3,23.1,33.2
1285,33.53,54.03,250.9,2.01,16.0,225.3,58.7,149.7,22.8,33.1
1286,32.59,52.26,243.7,1.98,15.4,220.5,57.5,145.4,22.1,31.7
1287,32.64,52.33,237.2,1.97,15.2,216.7,56.3,141.2,21.7,31.1
1288,31.24,50.49,229.6,1.88,14.9,210.1,54.9,138.4,21.3,30.9
1289,31.58,50.74,234.9,1.87,14.8,210.6,54.5,139.7,21.3,30.1
1290,34.4,55.63,254.4,2.08,16.3,230.9,60.4,153.8,23.2,33.6
1291,35.17,57.01,256.3,2.14,16.6,236.3,60.5,158.0,24.0,34.1
1292,33.82,53.4,246.1,2.03,15.5,223.0,58.2,145.8,22.2,32.3
1293,30.4,49.03,223.8,1.87,14.5,205.7,54.1,136.6,20.5,29.6
1294,29.67,47.92,215.2,1.79,13.6,197.1,50.9,129.1,19.9,28.3
1295,27.26,43.06,198.5,1.63,12.7,180.8,46.5,119.9,18.2,25.9
1296,24.86,40.05,182.9,1.51,11.5,166.2,43.5,109.7,16.8,24.3
1297,23.35,37.47,171.4,1.41,11.0,156.8,40.2,103.0,15.7,22.4
1298,22.92,36.36,166.6,1.37,10.6,151.8,39.3,99.9,15.3,22.3
1299,22.37,35.68,162.7,1.33,10.5,149.9,38.7,98.8,15.0,21.7
1300,22.85,36.43,167.3,1.36,10.6,150.8,39.4,99.9,15.1,21.8
1301,23.52,38.04,175.2,1.42,11.2,158.6,40.8,104.8,16.0,23.0
1302,24.66,39.31,181.9,1.47,11.6,163.9,42.1,109.0,16.2,23.7
1303,27.72,43.56,198.9,1.62,12.9,182.5,47.9,122.0,18.2,26.8
1304,29.55,47.26,218.5,1.77,13.8,199.1,52.1,132.9,19.9,29.1
1305,30.81,48.62,224.4,1.84,14.4,205.0,52.8,133.8,20.2,29.3
1306,30.71,48.71,227.3,1.85,14.2,205.9,54.1,135.7,20.5,30.3
1307,31.76,50.11,230.0,1.87,14.7,209.5,53.9,138.9,20.9,30.3
1308,31.15,50.82,233.2,1.87,14.6,210.4,55.5,136.9,20.7,30.9
1309,30.31,48.61,223.5,1.84,14.1,201.9,52.0,134.8,20.4,29.2
1310,28.7,46.19,216.2,1.77,13.7,193.9,49.8,128.6,19.5,27.8
1311,28.45,44.61,206.5,1.7,13.3,187.6,49.0,125.1,18.5,27.1
1312,27.87,44.5,203.6,1.67,13.2,186.1,47.9,123.9,18.8,27.1
1313,28.47,46.19,211.8,1.7,13.2,189.8,49.9,124.6,19.2,27.3
1314,32.29,51.93,233.4,1.95,15.1,214.2,55.1,140.2,21.3,30.6
1315,31.53,50.51,231.6,1.87,14.9,211.4,55.4,140.9,21.4,30.7
1316,29.18,47.14,219.9,1.75,13.9,197.0,50.8,130.1,20.0,28.8
1317,27.62,43.77,202.3,1.65,12.7,181.8,47.9,119.9,18.4,26.3
1318,25.85,41.83,190.1,1.57,12.1,174.2,44.8,115.3,17.6,24.9
1319,24.13,38.87,176.7,1.42,11.2,159.7,41.0,104.5,16.0,23.2
1320,24.34,38.85,178.4,1.48,11.4,162.5,42.2,105.9,16.4,23.7
1321,23.08,36.81,167.9,1.39,10.8,153.9,40.5,101.1,15.6,22.1
1322,22.18,35.2,163.6,1.35,10.2,147.8,38.0,97.9,14.9,21.6
1323,21.81,35.41,159.3,1.31,10.3,145.9,38.5,96.8,14.5,21.2
1324,21.82,34.48,161.9,1.31,10.2,145.3,38.3,95.8,14.6,21.2
1325,22.87,36.5,167.5,1.34,10.6,150.5,38.8,100.2,15.0,21.7
1326,23.18,36.81,170.4,1.36,10.9,153.7,39.5,100.8,15.2,22.6
1327,24.88,40.07,183.1,1.51,11.5,166.2,43.5,109.4,16.5,23.9
1328,27.05,43.69,201.9,1.63,12.6,182.2,46.8,118.8,18.3,26.1
1329,28.2,45.23,209.6,1.69,13.1,188.5,49.4,124.4,18.7,27.1
1330,28.09,44.15,204.6,1.65,13.2,186.2,48.6,122.7,18.5,27.2
1331,28.54,45.12,210.3,1.69,13.2,190.3,49.0,126.8,19.0,27.5
1332,28.99,46.0,207.3,1.72,13.5,190.4,49.0,125.0,19.0,27.2
1333,26.8,43.1,195.5,1.65,12.4,180.4,47.4,117.4,17.8,26.0
1334,26.11,42.47,194.1,1.6,12.1,174.7,44.9,114.6,17.7,25.3
1335,25.53,40.96,185.3,1.51,11.8,169.9,44.5,111.7,17.0,25.0
