,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,Montserrat Hydrogen
58,0.0,0.0,0.0,-2.220446049250313e-16,0.0,-7.105427357601002e-15,-5.684341886080802e-14,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0
59,3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0,-2.842170943040401e-14,0.0,2.842170943040401e-14,-3.552713678800501e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,-2.842170943040401e-14,0.0,-4.440892098500626e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,-3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,8.881784197001252e-15,0.0,2.220446049250313e-16,-1.4210854715202004e-14,-3.552713678800501e-15,0.0,1.7763568394002505e-15,3.552713678800501e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,5.329070518200751e-15,-3.552713678800501e-15,-8.526512829121202e-14,0.0,3.694822225952521e-13,1.1368683772161603e-13,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,8.881784197001252e-16,0.0,1.0658141036401503e-14,2.220446049250313e-16,2.3092638912203256e-14,2.886579864025407e-15,5.684341886080802e-14,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-8.881784197001252e-16,2.1316282072803006e-14,-1.2789769243681803e-13,0.0,-4.263256414560601e-14,6.039613253960852e-14,-4.973799150320701e-14,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,-1.4210854715202004e-14,0.0,2.842170943040401e-14,7.105427357601002e-15,0.0,-1.7763568394002505e-15,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.7763568394002505e-15,0.0,-1.4210854715202004e-14,-2.220446049250313e-16,-1.4210854715202004e-14,3.552713678800501e-15,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
